"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0T9I0","2020-03-14 00:00:00","152.000","39.000","4.500","20.200","0.980","1000.100","","9.000","-99.000","-99.000","-99.000","22.800","","19.300",""
"C0O980","2020-03-14 00:00:00","18.000","336.000","1.600","22.000","0.940","1014.600","","0.000","-99.000","-99.000","-99.000","30.100","","19.900",""
"C0R270","2020-03-14 00:00:00","51.000","326.000","2.200","23.500","1.000","1008.500","","0.000","-99.000","-99.000","-99.000","28.500","","22.800",""
"C0T9H0","2020-03-14 00:00:00","725.000","65.000","3.700","17.200","0.990","935.800","","9.000","-99.000","-99.000","-99.000","20.500","","17.200",""
"C0A890","2020-03-14 00:00:00","40.000","328.000","0.500","17.400","0.960","1013.200","","19.500","-99.000","-99.000","-99.000","22.800","","17.400",""
"C0O840","2020-03-14 00:00:00","134.000","320.000","0.800","20.900","1.000","998.500","","0.000","-99.000","-99.000","-99.000","28.800","","18.600",""
"C0R530","2020-03-14 00:00:00","16.000","353.000","1.500","23.900","0.790","1013.300","","0.000","-99.000","-99.000","-99.000","28.800","","22.400",""
"C0G870","2020-03-14 00:00:00","12.000","22.000","2.300","21.000","0.820","1015.500","","0.000","-99.000","-99.000","-99.000","26.600","","19.300",""
"C0M820","2020-03-14 00:00:00","980.000","0.000","0.000","18.400","0.940","907.900","","0.500","-99.000","-99.000","-99.000","24.900","","16.000",""
"C0F9S0","2020-03-14 00:00:00","43.000","2.000","3.000","21.000","0.850","1011.200","","0.000","-99.000","-99.000","-99.000","28.000","","19.700",""
"C0R160","2020-03-14 00:00:00","45.000","13.000","1.100","23.000","0.990","1009.200","","0.000","-99.000","-99.000","-99.000","30.300","","21.300",""
"C0A560","2020-03-14 00:00:00","405.000","253.000","1.100","16.500","1.000","971.800","","5.500","-99.000","-99.000","-99.000","25.800","","15.700",""
"C0A950","2020-03-14 00:00:00","60.000","335.000","9.400","16.200","1.000","1011.600","","6.000","-99.000","-99.000","-99.000","19.700","","16.200",""
"C0F9L0","2020-03-14 00:00:00","253.000","46.000","2.400","19.000","0.990","986.900","","0.000","-99.000","-99.000","-99.000","27.200","","18.200",""
"C0R550","2020-03-14 00:00:00","38.000","0.000","0.000","23.700","0.930","1011.600","","0.000","-99.000","-99.000","-99.000","31.500","","21.100",""
"C0V530","2020-03-14 00:00:00","34.000","343.000","1.200","22.400","1.000","1011.200","","0.000","-99.000","-99.000","-99.000","29.300","","19.800",""
"C0AI10","2020-03-14 00:00:00","76.000","341.000","1.400","17.200","0.990","1009.200","","26.000","-99.000","-99.000","-99.000","21.400","","17.200",""
"C0F9U0","2020-03-14 00:00:00","74.000","8.000","1.500","21.300","0.870","1007.500","","0.000","-99.000","-99.000","-99.000","28.700","","19.900",""
"C0V680","2020-03-14 00:00:00","40.000","345.000","2.100","23.800","0.850","1010.500","","0.000","-99.000","-99.000","-99.000","29.500","","21.900",""
"C0Z290","2020-03-14 00:00:00","946.000","0.000","0.000","17.000","0.990","911.800","","1.500","-99.000","-99.000","-99.000","20.100","","16.500",""
"CM0120","2020-03-14 00:00:00","4.000","43.000","4.900","21.700","0.790","1015.400","","0.500","-99.000","-99.000","-99.000","25.400","","19.800",""
"C0G760","2020-03-14 00:00:00","53.000","325.000","1.400","21.100","0.990","1012.200","","0.000","-99.000","-99.000","-99.000","28.300","","18.900",""
"C0K450","2020-03-14 00:00:00","35.000","341.000","3.600","21.200","0.860","1011.100","","1.000","-99.000","-99.000","-99.000","28.300","","18.800",""
"C0E820","2020-03-14 00:00:00","220.000","35.000","2.600","17.100","0.950","992.100","","1.500","-99.000","-99.000","-99.000","25.900","","16.900",""
"C0A530","2020-03-14 00:00:00","300.000","0.000","0.200","16.100","0.990","983.800","","20.500","-99.000","-99.000","-99.000","20.900","","16.100",""
"C0M520","2020-03-14 00:00:00","15.000","26.000","2.600","21.300","0.910","1013.200","","0.000","-99.000","-99.000","-99.000","26.600","","18.800",""
"C0S960","2020-03-14 00:00:00","32.000","316.000","0.400","23.200","0.860","1012.100","","0.000","-99.000","-99.000","-99.000","26.700","","23.000",""
"C0T9M0","2020-03-14 00:00:00","92.000","29.000","0.900","20.900","1.000","1007.700","","7.500","-99.000","-99.000","-99.000","23.800","","19.800",""
"C0AI00","2020-03-14 00:00:00","188.000","8.000","3.000","15.600","1.000","997.800","","47.000","-99.000","-99.000","-99.000","20.600","","15.600",""
"C0AC40","2020-03-14 00:00:00","1079.000","55.000","5.500","10.200","0.990","896.000","","24.500","-99.000","-99.000","-99.000","16.400","","10.200",""
"C0F9M0","2020-03-14 00:00:00","230.000","13.000","1.600","18.900","1.000","989.600","","0.000","-99.000","-99.000","-99.000","27.300","","17.600",""
"C0A930","2020-03-14 00:00:00","216.000","307.000","1.300","15.000","0.990","993.000","","39.500","-99.000","-99.000","-99.000","19.700","","15.000",""
"C0A640","2020-03-14 00:00:00","241.000","0.000","0.100","16.200","0.980","993.000","","48.000","-99.000","-99.000","-99.000","20.800","","16.200",""
"C0I420","2020-03-14 00:00:00","305.000","0.000","0.200","21.000","0.930","980.700","","0.500","-99.000","-99.000","-99.000","29.000","","18.900",""
"C0R170","2020-03-14 00:00:00","26.000","293.000","0.800","23.600","1.000","1012.400","","0.000","-99.000","-99.000","-99.000","31.300","","21.800",""
"C0M530","2020-03-14 00:00:00","1385.000","80.000","0.800","15.400","0.990","870.700","","2.000","-99.000","-99.000","-99.000","21.700","","14.200",""
"C0H960","2020-03-14 00:00:00","120.000","53.000","0.900","21.300","1.000","1000.500","","0.000","-99.000","-99.000","-99.000","28.600","","19.100",""
"C0V620","2020-03-14 00:00:00","18.000","320.000","1.800","23.000","0.980","1013.400","","0.000","-99.000","-99.000","-99.000","27.100","","21.000",""
"C0X280","2020-03-14 00:00:00","22.000","33.000","2.800","21.600","0.920","1013.400","","0.000","-99.000","-99.000","-99.000","25.700","","19.500",""
"C0AH40","2020-03-14 00:00:00","426.000","24.000","3.700","15.300","0.990","967.200","","31.500","10.900","7.000","","19.600","","15.300",""
"C0T9A0","2020-03-14 00:00:00","498.000","70.000","0.300","17.500","0.990","960.100","","8.500","-99.000","-99.000","-99.000","21.300","","17.500",""
"C0K390","2020-03-14 00:00:00","31.000","4.000","2.500","21.100","0.900","1012.300","","0.500","-99.000","-99.000","-99.000","27.200","","18.700",""
"C0I540","2020-03-14 00:00:00","3344.000","-99.000","-99.000","5.000","1.000","683.000","","-99.000","-99.000","-99.000","-99.000","5.300","","3.100",""
"C0G890","2020-03-14 00:00:00","24.000","21.000","5.900","20.200","1.000","1012.900","","0.000","-99.000","-99.000","-99.000","25.600","","19.100",""
"C0K430","2020-03-14 00:00:00","30.000","355.000","1.500","20.800","1.000","1013.400","","1.000","-99.000","-99.000","-99.000","26.600","","18.600",""
"C0G720","2020-03-14 00:00:00","50.000","348.000","2.300","20.700","0.910","1009.700","","0.000","-99.000","-99.000","-99.000","27.400","","18.700",""
"C0UA40","2020-03-14 00:00:00","1121.000","37.000","6.100","12.800","0.990","892.200","","1.000","-99.000","-99.000","-99.000","20.300","","12.800",""
"C0V400","2020-03-14 00:00:00","56.000","328.000","2.400","23.300","0.920","1008.400","","0.000","-99.000","-99.000","-99.000","28.900","","21.000",""
"C0X130","2020-03-14 00:00:00","27.000","10.000","1.600","22.500","0.920","1011.800","","0.000","-99.000","-99.000","-99.000","29.000","","20.400",""
"C0A520","2020-03-14 00:00:00","48.000","47.000","1.500","16.800","0.990","1013.500","","70.000","-99.000","-99.000","-99.000","21.000","","16.800",""
"C0U870","2020-03-14 00:00:00","474.000","289.000","0.700","16.400","0.870","964.300","","3.000","-99.000","-99.000","-99.000","24.400","","16.400",""
"C0S690","2020-03-14 00:00:00","522.000","20.000","0.500","19.300","1.000","956.800","","0.000","-99.000","-99.000","-99.000","27.000","","19.200",""
"C0R150","2020-03-14 00:00:00","105.000","0.000","0.200","23.400","0.990","1001.600","","0.000","-99.000","-99.000","-99.000","32.400","","22.100",""
"C0K560","2020-03-14 00:00:00","117.000","327.000","0.800","21.300","0.940","1002.800","","0.500","-99.000","-99.000","-99.000","29.800","","18.600",""
"C0X100","2020-03-14 00:00:00","10.000","343.000","2.100","22.500","0.990","1012.500","","0.000","-99.000","-99.000","-99.000","27.600","","20.700",""
"C0K460","2020-03-14 00:00:00","60.000","359.000","4.000","21.200","0.900","1007.900","","0.500","-99.000","-99.000","-99.000","27.600","","18.800",""
"C0M740","2020-03-14 00:00:00","15.000","3.000","1.200","21.300","0.920","1013.400","","0.000","-99.000","-99.000","-99.000","26.700","","18.800",""
"C0SA10","2020-03-14 00:00:00","411.000","113.000","0.700","20.000","0.990","969.600","","0.000","-99.000","-99.000","-99.000","29.000","","19.800",""
"C0C660","2020-03-14 00:00:00","176.000","27.000","5.200","15.800","0.960","998.400","","55.000","-99.000","-99.000","-99.000","20.700","","15.800",""
"C0R620","2020-03-14 00:00:00","34.000","35.000","1.300","22.900","0.930","1012.700","","0.000","-99.000","-99.000","-99.000","28.100","","22.800",""
"C0R700","2020-03-14 00:00:00","19.000","55.000","1.500","22.800","0.880","1013.900","","0.000","-99.000","-99.000","-99.000","27.400","","22.700",""
"C0O970","2020-03-14 00:00:00","71.000","315.000","1.800","21.800","0.920","1007.300","","0.000","-99.000","-99.000","-99.000","30.500","","19.100",""
"C0F9P0","2020-03-14 00:00:00","26.000","39.000","5.200","19.800","0.940","1014.100","","0.000","-99.000","-99.000","-99.000","26.400","","18.800",""
"C0R560","2020-03-14 00:00:00","22.000","297.000","2.500","23.800","0.840","1013.100","","0.000","-99.000","-99.000","-99.000","30.100","","22.700",""
"C0X220","2020-03-14 00:00:00","26.000","8.000","2.400","21.300","0.900","1012.300","","0.500","-99.000","-99.000","-99.000","25.500","","19.000",""
"C0M680","2020-03-14 00:00:00","37.000","338.000","1.900","21.400","0.960","1013.200","","0.500","-99.000","-99.000","-99.000","28.200","","19.100",""
"C0S710","2020-03-14 00:00:00","382.000","356.000","1.100","19.600","1.000","973.700","","1.500","-99.000","-99.000","-99.000","28.000","","17.900",""
"C0F9T0","2020-03-14 00:00:00","111.000","321.000","1.900","19.900","0.930","1002.500","","0.000","-99.000","-99.000","-99.000","27.700","","18.500",""
"C0F9N0","2020-03-14 00:00:00","75.000","326.000","1.600","22.500","0.840","1007.000","","0.000","-99.000","-99.000","-99.000","28.400","","20.300",""
"C0G740","2020-03-14 00:00:00","24.000","5.000","2.700","21.000","0.850","1013.200","","0.000","-99.000","-99.000","-99.000","25.800","","19.000",""
"C0UA70","2020-03-14 00:00:00","547.000","11.000","5.800","14.400","0.990","955.700","","16.500","11.800","6.000","","18.900","","14.400",""
"C0AC60","2020-03-14 00:00:00","55.000","64.000","0.700","17.500","0.990","1012.300","","47.500","-99.000","-99.000","-99.000","21.200","","17.500",""
"C0R510","2020-03-14 00:00:00","31.000","321.000","1.400","23.900","0.860","1012.000","","0.000","-99.000","-99.000","-99.000","30.700","","23.100",""
"C0X060","2020-03-14 00:00:00","19.000","20.000","2.600","21.600","0.910","1014.900","","0.000","-99.000","-99.000","-99.000","29.300","","19.300",""
"C0E550","2020-03-14 00:00:00","84.000","56.000","2.600","17.800","1.000","1008.600","","0.500","-99.000","-99.000","-99.000","24.700","","17.500",""
"C0AI20","2020-03-14 00:00:00","25.000","30.000","9.400","16.700","0.870","1016.600","","37.000","-99.000","-99.000","-99.000","19.900","","16.700",""
"C0E740","2020-03-14 00:00:00","27.000","54.000","2.000","18.200","1.000","1008.700","","0.500","-99.000","-99.000","-99.000","24.900","","18.200",""
